id;requirement_id;standard;edition;clause;chapter;priority;lens;topic;process_tags;question_en;question_cs;question_de
9001-4-2-internal-1;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;internal;stakeholders;leadership | project_change | sales;Which stakeholder requirements are currently binding or strategically adopted, and where are they controlled?;Které požadavky zainteresovaných stran jsou nyní závazné nebo strategicky přijaté a kde jsou řízeny?;Welche Anforderungen interessierter Parteien sind derzeit verbindlich oder strategisch übernommen und wo werden sie gelenkt?
9001-4-2-internal-2;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;internal;stakeholders;leadership | project_change | sales;How is needs and expectations of interested parties implemented in the selected process, and who owns the control?;Jak je v hodnoceném procesu zavedeno téma „Potřeby a očekávání zainteresovaných stran“ a kdo vlastní příslušné řízení?;Wie ist „Erfordernisse und Erwartungen interessierter Parteien“ im ausgewählten Prozess umgesetzt und wer verantwortet die Steuerung?
9001-4-2-internal-3;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;internal;stakeholders;leadership | project_change | sales;Show a recent sample and explain how effectiveness, deviations and follow-up are evaluated.;Ukažte aktuální vzorek a vysvětlete, jak se hodnotí účinnost, odchylky a následná opatření.;Eine aktuelle Stichprobe zeigen und erläutern, wie Wirksamkeit, Abweichungen und Folgemaßnahmen bewertet werden.
9001-4-2-customer-1;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;customer;stakeholders;leadership | project_change | sales;How does clause 4.2 protect customer, contractual or stakeholder expectations in this process?;Jak článek 4.2 chrání očekávání zákazníka, smluvní nebo jiné relevantní požadavky v tomto procesu?;Wie schützt Abschnitt 4.2 Kunden-, Vertrags- oder relevante Stakeholderanforderungen in diesem Prozess?
9001-4-2-customer-2;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;customer;stakeholders;leadership | project_change | sales;Which stakeholder requirements are currently binding or strategically adopted, and where are they controlled?;Které požadavky zainteresovaných stran jsou nyní závazné nebo strategicky přijaté a kde jsou řízeny?;Welche Anforderungen interessierter Parteien sind derzeit verbindlich oder strategisch übernommen und wo werden sie gelenkt?
9001-4-2-customer-3;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;customer;stakeholders;leadership | project_change | sales;Show one recent customer/project example and trace the requirement to objective evidence and escalation.;Ukažte jeden aktuální zákaznický/projektový příklad a sledujte požadavek k objektivnímu důkazu a eskalaci.;Ein aktuelles Kunden-/Projektbeispiel zeigen und die Anforderung bis zu objektivem Nachweis und Eskalation verfolgen.
9001-4-2-certification-1;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;certification;stakeholders;leadership | project_change | sales;Which objective evidence demonstrates conformity and effective implementation of clause 4.2?;Který objektivní důkaz prokazuje shodu a účinné zavedení článku 4.2?;Welche objektiven Nachweise belegen Konformität und wirksame Umsetzung von Abschnitt 4.2?
9001-4-2-certification-2;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;certification;stakeholders;leadership | project_change | sales;Which stakeholder requirements are currently binding or strategically adopted, and where are they controlled?;Které požadavky zainteresovaných stran jsou nyní závazné nebo strategicky přijaté a kde jsou řízeny?;Welche Anforderungen interessierter Parteien sind derzeit verbindlich oder strategisch übernommen und wo werden sie gelenkt?
9001-4-2-certification-3;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;certification;stakeholders;leadership | project_change | sales;How does this control interact with related clauses, and how are gaps classified and corrected?;Jak toto řízení souvisí s navazujícími články a jak se klasifikují a řeší mezery?;Wie wirkt diese Steuerung mit verwandten Abschnitten zusammen und wie werden Lücken klassifiziert und behoben?
9001-4-2-supplier-1;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;supplier;stakeholders;leadership | project_change | sales;How does the supplier implement needs and expectations of interested parties for the supplied product, process or service?;Jak dodavatel zavádí téma „Potřeby a očekávání zainteresovaných stran“ pro dodávaný produkt, proces nebo službu?;Wie setzt der Lieferant „Erfordernisse und Erwartungen interessierter Parteien“ für das gelieferte Produkt, den Prozess oder die Dienstleistung um?
9001-4-2-supplier-2;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;supplier;stakeholders;leadership | project_change | sales;Show a recent supplied-part or service sample, including controls, records and deviation handling.;Ukažte aktuální vzorek dodávaného dílu nebo služby včetně řízení, záznamů a řešení odchylek.;Eine aktuelle Stichprobe eines gelieferten Teils oder einer Dienstleistung einschließlich Kontrollen, Aufzeichnungen und Abweichungsbehandlung zeigen.
9001-4-2-supplier-3;9001-4-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.2;4;high;supplier;stakeholders;leadership | project_change | sales;How are changes, risks and nonconformities communicated to the customer before impact?;Jak jsou změny, rizika a neshody komunikovány zákazníkovi před vznikem dopadu?;Wie werden Änderungen, Risiken und Nichtkonformitäten vor einer Auswirkung an den Kunden kommuniziert?
9001-4-3-internal-1;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;internal;scope;leadership;Walk the physical and organizational boundary: what is inside, what is outside and why?;Projďte fyzickou a organizační hranici: co je uvnitř, co vně a proč?;Physische und organisatorische Grenze prüfen: Was ist enthalten, was nicht und warum?
9001-4-3-internal-2;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;internal;scope;leadership;How is scope of the management system implemented in the selected process, and who owns the control?;Jak je v hodnoceném procesu zavedeno téma „Rozsah systému managementu“ a kdo vlastní příslušné řízení?;Wie ist „Geltungsbereich des Managementsystems“ im ausgewählten Prozess umgesetzt und wer verantwortet die Steuerung?
9001-4-3-internal-3;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;internal;scope;leadership;Show a recent sample and explain how effectiveness, deviations and follow-up are evaluated.;Ukažte aktuální vzorek a vysvětlete, jak se hodnotí účinnost, odchylky a následná opatření.;Eine aktuelle Stichprobe zeigen und erläutern, wie Wirksamkeit, Abweichungen und Folgemaßnahmen bewertet werden.
9001-4-3-customer-1;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;customer;scope;leadership;How does clause 4.3 protect customer, contractual or stakeholder expectations in this process?;Jak článek 4.3 chrání očekávání zákazníka, smluvní nebo jiné relevantní požadavky v tomto procesu?;Wie schützt Abschnitt 4.3 Kunden-, Vertrags- oder relevante Stakeholderanforderungen in diesem Prozess?
9001-4-3-customer-2;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;customer;scope;leadership;Walk the physical and organizational boundary: what is inside, what is outside and why?;Projďte fyzickou a organizační hranici: co je uvnitř, co vně a proč?;Physische und organisatorische Grenze prüfen: Was ist enthalten, was nicht und warum?
9001-4-3-customer-3;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;customer;scope;leadership;Show one recent customer/project example and trace the requirement to objective evidence and escalation.;Ukažte jeden aktuální zákaznický/projektový příklad a sledujte požadavek k objektivnímu důkazu a eskalaci.;Ein aktuelles Kunden-/Projektbeispiel zeigen und die Anforderung bis zu objektivem Nachweis und Eskalation verfolgen.
9001-4-3-certification-1;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;certification;scope;leadership;Which objective evidence demonstrates conformity and effective implementation of clause 4.3?;Který objektivní důkaz prokazuje shodu a účinné zavedení článku 4.3?;Welche objektiven Nachweise belegen Konformität und wirksame Umsetzung von Abschnitt 4.3?
9001-4-3-certification-2;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;certification;scope;leadership;Walk the physical and organizational boundary: what is inside, what is outside and why?;Projďte fyzickou a organizační hranici: co je uvnitř, co vně a proč?;Physische und organisatorische Grenze prüfen: Was ist enthalten, was nicht und warum?
9001-4-3-certification-3;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;certification;scope;leadership;How does this control interact with related clauses, and how are gaps classified and corrected?;Jak toto řízení souvisí s navazujícími články a jak se klasifikují a řeší mezery?;Wie wirkt diese Steuerung mit verwandten Abschnitten zusammen und wie werden Lücken klassifiziert und behoben?
9001-4-3-supplier-1;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;supplier;scope;leadership;How does the supplier implement scope of the management system for the supplied product, process or service?;Jak dodavatel zavádí téma „Rozsah systému managementu“ pro dodávaný produkt, proces nebo službu?;Wie setzt der Lieferant „Geltungsbereich des Managementsystems“ für das gelieferte Produkt, den Prozess oder die Dienstleistung um?
9001-4-3-supplier-2;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;supplier;scope;leadership;Show a recent supplied-part or service sample, including controls, records and deviation handling.;Ukažte aktuální vzorek dodávaného dílu nebo služby včetně řízení, záznamů a řešení odchylek.;Eine aktuelle Stichprobe eines gelieferten Teils oder einer Dienstleistung einschließlich Kontrollen, Aufzeichnungen und Abweichungsbehandlung zeigen.
9001-4-3-supplier-3;9001-4-3;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.3;4;high;supplier;scope;leadership;How are changes, risks and nonconformities communicated to the customer before impact?;Jak jsou změny, rizika a neshody komunikovány zákazníkovi před vznikem dopadu?;Wie werden Änderungen, Risiken und Nichtkonformitäten vor einer Auswirkung an den Kunden kommuniziert?
9001-4-4-internal-1;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;internal;processes;leadership;Select one core process and show its inputs, controls, outputs, indicators, risks and interactions.;Vyberte jeden hlavní proces a ukažte jeho vstupy, opatření, výstupy, ukazatele, rizika a vazby.;Einen Kernprozess auswählen und Eingaben, Kontrollen, Ergebnisse, Kennzahlen, Risiken und Wechselwirkungen zeigen.
9001-4-4-internal-2;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;internal;processes;leadership;How is quality management system and its processes implemented in the selected process, and who owns the control?;Jak je v hodnoceném procesu zavedeno téma „Systém managementu kvality a jeho procesy“ a kdo vlastní příslušné řízení?;Wie ist „Qualitätsmanagementsystem und seine Prozesse“ im ausgewählten Prozess umgesetzt und wer verantwortet die Steuerung?
9001-4-4-internal-3;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;internal;processes;leadership;Show a recent sample and explain how effectiveness, deviations and follow-up are evaluated.;Ukažte aktuální vzorek a vysvětlete, jak se hodnotí účinnost, odchylky a následná opatření.;Eine aktuelle Stichprobe zeigen und erläutern, wie Wirksamkeit, Abweichungen und Folgemaßnahmen bewertet werden.
9001-4-4-customer-1;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;customer;processes;leadership;How does clause 4.4 protect customer, contractual or stakeholder expectations in this process?;Jak článek 4.4 chrání očekávání zákazníka, smluvní nebo jiné relevantní požadavky v tomto procesu?;Wie schützt Abschnitt 4.4 Kunden-, Vertrags- oder relevante Stakeholderanforderungen in diesem Prozess?
9001-4-4-customer-2;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;customer;processes;leadership;Select one core process and show its inputs, controls, outputs, indicators, risks and interactions.;Vyberte jeden hlavní proces a ukažte jeho vstupy, opatření, výstupy, ukazatele, rizika a vazby.;Einen Kernprozess auswählen und Eingaben, Kontrollen, Ergebnisse, Kennzahlen, Risiken und Wechselwirkungen zeigen.
9001-4-4-customer-3;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;customer;processes;leadership;Show one recent customer/project example and trace the requirement to objective evidence and escalation.;Ukažte jeden aktuální zákaznický/projektový příklad a sledujte požadavek k objektivnímu důkazu a eskalaci.;Ein aktuelles Kunden-/Projektbeispiel zeigen und die Anforderung bis zu objektivem Nachweis und Eskalation verfolgen.
9001-4-4-certification-1;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;certification;processes;leadership;Which objective evidence demonstrates conformity and effective implementation of clause 4.4?;Který objektivní důkaz prokazuje shodu a účinné zavedení článku 4.4?;Welche objektiven Nachweise belegen Konformität und wirksame Umsetzung von Abschnitt 4.4?
9001-4-4-certification-2;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;certification;processes;leadership;Select one core process and show its inputs, controls, outputs, indicators, risks and interactions.;Vyberte jeden hlavní proces a ukažte jeho vstupy, opatření, výstupy, ukazatele, rizika a vazby.;Einen Kernprozess auswählen und Eingaben, Kontrollen, Ergebnisse, Kennzahlen, Risiken und Wechselwirkungen zeigen.
9001-4-4-certification-3;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;certification;processes;leadership;How does this control interact with related clauses, and how are gaps classified and corrected?;Jak toto řízení souvisí s navazujícími články a jak se klasifikují a řeší mezery?;Wie wirkt diese Steuerung mit verwandten Abschnitten zusammen und wie werden Lücken klassifiziert und behoben?
9001-4-4-supplier-1;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;supplier;processes;leadership;How does the supplier implement quality management system and its processes for the supplied product, process or service?;Jak dodavatel zavádí téma „Systém managementu kvality a jeho procesy“ pro dodávaný produkt, proces nebo službu?;Wie setzt der Lieferant „Qualitätsmanagementsystem und seine Prozesse“ für das gelieferte Produkt, den Prozess oder die Dienstleistung um?
9001-4-4-supplier-2;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;supplier;processes;leadership;Show a recent supplied-part or service sample, including controls, records and deviation handling.;Ukažte aktuální vzorek dodávaného dílu nebo služby včetně řízení, záznamů a řešení odchylek.;Eine aktuelle Stichprobe eines gelieferten Teils oder einer Dienstleistung einschließlich Kontrollen, Aufzeichnungen und Abweichungsbehandlung zeigen.
9001-4-4-supplier-3;9001-4-4;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.4;4;high;supplier;processes;leadership;How are changes, risks and nonconformities communicated to the customer before impact?;Jak jsou změny, rizika a neshody komunikovány zákazníkovi před vznikem dopadu?;Wie werden Änderungen, Risiken und Nichtkonformitäten vor einer Auswirkung an den Kunden kommuniziert?
9001-5-1-1-internal-1;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;internal;leadership;audit_improvement | leadership;Which recent top-management decision demonstrates ownership of this management system?;Které nedávné rozhodnutí vrcholového vedení prokazuje vlastnictví tohoto systému?;Welche aktuelle Entscheidung der obersten Leitung belegt die Verantwortung für dieses Managementsystem?
9001-5-1-1-internal-2;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;internal;leadership;audit_improvement | leadership;How is leadership and commitment — general implemented in the selected process, and who owns the control?;Jak je v hodnoceném procesu zavedeno téma „Vedení a závazek — obecně“ a kdo vlastní příslušné řízení?;Wie ist „Führung und Verpflichtung — Allgemeines“ im ausgewählten Prozess umgesetzt und wer verantwortet die Steuerung?
9001-5-1-1-internal-3;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;internal;leadership;audit_improvement | leadership;Show a recent sample and explain how effectiveness, deviations and follow-up are evaluated.;Ukažte aktuální vzorek a vysvětlete, jak se hodnotí účinnost, odchylky a následná opatření.;Eine aktuelle Stichprobe zeigen und erläutern, wie Wirksamkeit, Abweichungen und Folgemaßnahmen bewertet werden.
9001-5-1-1-customer-1;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;customer;leadership;audit_improvement | leadership;How does clause 5.1.1 protect customer, contractual or stakeholder expectations in this process?;Jak článek 5.1.1 chrání očekávání zákazníka, smluvní nebo jiné relevantní požadavky v tomto procesu?;Wie schützt Abschnitt 5.1.1 Kunden-, Vertrags- oder relevante Stakeholderanforderungen in diesem Prozess?
9001-5-1-1-customer-2;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;customer;leadership;audit_improvement | leadership;Which recent top-management decision demonstrates ownership of this management system?;Které nedávné rozhodnutí vrcholového vedení prokazuje vlastnictví tohoto systému?;Welche aktuelle Entscheidung der obersten Leitung belegt die Verantwortung für dieses Managementsystem?
9001-5-1-1-customer-3;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;customer;leadership;audit_improvement | leadership;Show one recent customer/project example and trace the requirement to objective evidence and escalation.;Ukažte jeden aktuální zákaznický/projektový příklad a sledujte požadavek k objektivnímu důkazu a eskalaci.;Ein aktuelles Kunden-/Projektbeispiel zeigen und die Anforderung bis zu objektivem Nachweis und Eskalation verfolgen.
9001-5-1-1-certification-1;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;certification;leadership;audit_improvement | leadership;Which objective evidence demonstrates conformity and effective implementation of clause 5.1.1?;Který objektivní důkaz prokazuje shodu a účinné zavedení článku 5.1.1?;Welche objektiven Nachweise belegen Konformität und wirksame Umsetzung von Abschnitt 5.1.1?
9001-5-1-1-certification-2;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;certification;leadership;audit_improvement | leadership;Which recent top-management decision demonstrates ownership of this management system?;Které nedávné rozhodnutí vrcholového vedení prokazuje vlastnictví tohoto systému?;Welche aktuelle Entscheidung der obersten Leitung belegt die Verantwortung für dieses Managementsystem?
9001-5-1-1-certification-3;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;certification;leadership;audit_improvement | leadership;How does this control interact with related clauses, and how are gaps classified and corrected?;Jak toto řízení souvisí s navazujícími články a jak se klasifikují a řeší mezery?;Wie wirkt diese Steuerung mit verwandten Abschnitten zusammen und wie werden Lücken klassifiziert und behoben?
9001-5-1-1-supplier-1;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;supplier;leadership;audit_improvement | leadership;How does the supplier implement leadership and commitment — general for the supplied product, process or service?;Jak dodavatel zavádí téma „Vedení a závazek — obecně“ pro dodávaný produkt, proces nebo službu?;Wie setzt der Lieferant „Führung und Verpflichtung — Allgemeines“ für das gelieferte Produkt, den Prozess oder die Dienstleistung um?
9001-5-1-1-supplier-2;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;supplier;leadership;audit_improvement | leadership;Show a recent supplied-part or service sample, including controls, records and deviation handling.;Ukažte aktuální vzorek dodávaného dílu nebo služby včetně řízení, záznamů a řešení odchylek.;Eine aktuelle Stichprobe eines gelieferten Teils oder einer Dienstleistung einschließlich Kontrollen, Aufzeichnungen und Abweichungsbehandlung zeigen.
9001-5-1-1-supplier-3;9001-5-1-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.1;5;high;supplier;leadership;audit_improvement | leadership;How are changes, risks and nonconformities communicated to the customer before impact?;Jak jsou změny, rizika a neshody komunikovány zákazníkovi před vznikem dopadu?;Wie werden Änderungen, Risiken und Nichtkonformitäten vor einer Auswirkung an den Kunden kommuniziert?
9001-5-1-2-internal-1;9001-5-1-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.2;5;high;internal;customer;risk | sales;How does top management react when delivery, conformity or customer-specific requirements are at risk?;Jak vrcholové vedení reaguje, když jsou ohroženy dodávky, shoda nebo specifické požadavky zákazníka?;Wie reagiert die oberste Leitung, wenn Lieferung, Konformität oder kundenspezifische Anforderungen gefährdet sind?
9001-5-1-2-internal-2;9001-5-1-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.2;5;high;internal;customer;risk | sales;How is customer focus implemented in the selected process, and who owns the control?;Jak je v hodnoceném procesu zavedeno téma „Zaměření na zákazníka“ a kdo vlastní příslušné řízení?;Wie ist „Kundenorientierung“ im ausgewählten Prozess umgesetzt und wer verantwortet die Steuerung?
9001-5-1-2-internal-3;9001-5-1-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.2;5;high;internal;customer;risk | sales;Show a recent sample and explain how effectiveness, deviations and follow-up are evaluated.;Ukažte aktuální vzorek a vysvětlete, jak se hodnotí účinnost, odchylky a následná opatření.;Eine aktuelle Stichprobe zeigen und erläutern, wie Wirksamkeit, Abweichungen und Folgemaßnahmen bewertet werden.
9001-5-1-2-customer-1;9001-5-1-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.2;5;high;customer;customer;risk | sales;How does clause 5.1.2 protect customer, contractual or stakeholder expectations in this process?;Jak článek 5.1.2 chrání očekávání zákazníka, smluvní nebo jiné relevantní požadavky v tomto procesu?;Wie schützt Abschnitt 5.1.2 Kunden-, Vertrags- oder relevante Stakeholderanforderungen in diesem Prozess?
9001-5-1-2-customer-2;9001-5-1-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.2;5;high;customer;customer;risk | sales;How does top management react when delivery, conformity or customer-specific requirements are at risk?;Jak vrcholové vedení reaguje, když jsou ohroženy dodávky, shoda nebo specifické požadavky zákazníka?;Wie reagiert die oberste Leitung, wenn Lieferung, Konformität oder kundenspezifische Anforderungen gefährdet sind?
9001-5-1-2-customer-3;9001-5-1-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.2;5;high;customer;customer;risk | sales;Show one recent customer/project example and trace the requirement to objective evidence and escalation.;Ukažte jeden aktuální zákaznický/projektový příklad a sledujte požadavek k objektivnímu důkazu a eskalaci.;Ein aktuelles Kunden-/Projektbeispiel zeigen und die Anforderung bis zu objektivem Nachweis und Eskalation verfolgen.
9001-5-1-2-certification-1;9001-5-1-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.2;5;high;certification;customer;risk | sales;Which objective evidence demonstrates conformity and effective implementation of clause 5.1.2?;Který objektivní důkaz prokazuje shodu a účinné zavedení článku 5.1.2?;Welche objektiven Nachweise belegen Konformität und wirksame Umsetzung von Abschnitt 5.1.2?
9001-5-1-2-certification-2;9001-5-1-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.2;5;high;certification;customer;risk | sales;How does top management react when delivery, conformity or customer-specific requirements are at risk?;Jak vrcholové vedení reaguje, když jsou ohroženy dodávky, shoda nebo specifické požadavky zákazníka?;Wie reagiert die oberste Leitung, wenn Lieferung, Konformität oder kundenspezifische Anforderungen gefährdet sind?
9001-5-1-2-certification-3;9001-5-1-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.2;5;high;certification;customer;risk | sales;How does this control interact with related clauses, and how are gaps classified and corrected?;Jak toto řízení souvisí s navazujícími články a jak se klasifikují a řeší mezery?;Wie wirkt diese Steuerung mit verwandten Abschnitten zusammen und wie werden Lücken klassifiziert und behoben?
9001-5-1-2-supplier-1;9001-5-1-2;ISO 9001;ISO 9001:2015 + Amd 1:2024;5.1.2;5;high;supplier;customer;risk | sales;How does the supplier implement customer focus for the supplied product, process or service?;Jak dodavatel zavádí téma „Zaměření na zákazníka“ pro dodávaný produkt, proces nebo službu?;Wie setzt der Lieferant „Kundenorientierung“ für das gelieferte Produkt, den Prozess oder die Dienstleistung um?
